Y;X1;X2;X3;X4;X5;X6;country_cod;year;ARG;BOL;BRA;CHL;COL;ECU;PER;PRY;URY;VEN;GUA;SUR
8.98;-0.1;0.08;0.52;0.17;0.11;0.39;ARG;1996;1;0;0;0;0;0;0;0;0;0;0;0
9.07;-0.11;-0.01;0.57;0.38;-0.13;0.31;ARG;1998;1;0;0;0;0;0;0;0;0;0;0;0
9.01;-0.19;-0.15;0.26;0.03;0.1;0.42;ARG;2000;1;0;0;0;0;0;0;0;0;0;0;0
8.83;-0.47;-0.76;-0.92;-0.28;-0.78;0.26;ARG;2002;1;0;0;0;0;0;0;0;0;0;0;0
8.9;-0.48;-0.77;-0.71;-0.05;-0.36;0.35;ARG;2003;1;0;0;0;0;0;0;0;0;0;0;0
8.98;-0.42;-0.81;-0.71;-0.06;-0.61;0.36;ARG;2004;1;0;0;0;0;0;0;0;0;0;0;0
9.05;-0.39;-0.55;-0.55;-0.12;-0.04;0.27;ARG;2005;1;0;0;0;0;0;0;0;0;0;0;0
9.12;-0.34;-0.57;-0.64;-0.05;0;0.4;ARG;2006;1;0;0;0;0;0;0;0;0;0;0;0
9.19;-0.34;-0.59;-0.67;-0.02;0.1;0.45;ARG;2007;1;0;0;0;0;0;0;0;0;0;0;0
9.22;-0.44;-0.68;-0.74;-0.15;-0.09;0.36;ARG;2008;1;0;0;0;0;0;0;0;0;0;0;0
9.15;-0.44;-0.68;-0.85;-0.32;-0.23;0.28;ARG;2009;1;0;0;0;0;0;0;0;0;0;0;0
9.24;-0.36;-0.59;-0.76;-0.16;-0.08;0.36;ARG;2010;1;0;0;0;0;0;0;0;0;0;0;0
9.29;-0.37;-0.56;-0.72;-0.12;0.16;0.34;ARG;2011;1;0;0;0;0;0;0;0;0;0;0;0
9.26;-0.44;-0.68;-0.93;-0.24;0.1;0.3;ARG;2012;1;0;0;0;0;0;0;0;0;0;0;0
9.28;-0.43;-0.71;-0.96;-0.28;0.07;0.28;ARG;2013;1;0;0;0;0;0;0;0;0;0;0;0
9.24;-0.54;-0.89;-1.07;-0.16;-0.01;0.35;ARG;2014;1;0;0;0;0;0;0;0;0;0;0;0
9.26;-0.55;-0.77;-0.91;-0.07;0.01;0.41;ARG;2015;1;0;0;0;0;0;0;0;0;0;0;0
9.23;-0.28;-0.39;-0.47;0.16;0.2;0.49;ARG;2016;1;0;0;0;0;0;0;0;0;0;0;0
9.25;-0.26;-0.25;-0.29;0.15;0.17;0.53;ARG;2017;1;0;0;0;0;0;0;0;0;0;0;0
9.21;-0.08;-0.24;-0.24;0.03;0.02;0.57;ARG;2018;1;0;0;0;0;0;0;0;0;0;0;0
7.34;-0.82;-0.26;0;-0.17;-0.13;0.16;BOL;1996;0;1;0;0;0;0;0;0;0;0;0;0
7.4;-0.36;-0.22;0.19;-0.07;-0.24;0.35;BOL;1998;0;1;0;0;0;0;0;0;0;0;0;0
7.39;-0.46;-0.39;0.04;-0.36;-0.24;0.19;BOL;2000;0;1;0;0;0;0;0;0;0;0;0;0
7.39;-0.9;-0.4;-0.06;-0.3;-0.29;0.14;BOL;2002;0;1;0;0;0;0;0;0;0;0;0;0
7.4;-0.82;-0.45;-0.08;-0.32;-0.83;-0.06;BOL;2003;0;1;0;0;0;0;0;0;0;0;0;0
7.42;-0.78;-0.68;-0.2;-0.59;-0.68;-0.17;BOL;2004;0;1;0;0;0;0;0;0;0;0;0;0
7.45;-0.74;-0.76;-0.69;-0.69;-0.97;-0.16;BOL;2005;0;1;0;0;0;0;0;0;0;0;0;0
7.48;-0.43;-0.85;-0.89;-0.72;-0.8;0.08;BOL;2006;0;1;0;0;0;0;0;0;0;0;0;0
7.51;-0.4;-0.83;-0.98;-0.57;-0.85;0.04;BOL;2007;0;1;0;0;0;0;0;0;0;0;0;0
7.55;-0.52;-0.97;-0.87;-0.62;-0.7;0;BOL;2008;0;1;0;0;0;0;0;0;0;0;0;0
7.57;-0.63;-1.11;-0.88;-0.6;-0.51;0.01;BOL;2009;0;1;0;0;0;0;0;0;0;0;0;0
7.59;-0.47;-1.02;-0.8;-0.5;-0.42;-0.04;BOL;2010;0;1;0;0;0;0;0;0;0;0;0;0
7.63;-0.57;-0.98;-0.76;-0.47;-0.42;-0.07;BOL;2011;0;1;0;0;0;0;0;0;0;0;0;0
7.66;-0.73;-1.02;-0.82;-0.37;-0.46;-0.08;BOL;2012;0;1;0;0;0;0;0;0;0;0;0;0
7.71;-0.59;-1.05;-0.78;-0.39;-0.33;-0.07;BOL;2013;0;1;0;0;0;0;0;0;0;0;0;0
7.75;-0.63;-1.06;-0.87;-0.59;-0.33;-0.03;BOL;2014;0;1;0;0;0;0;0;0;0;0;0;0
7.78;-0.7;-1.14;-0.89;-0.65;-0.27;0;BOL;2015;0;1;0;0;0;0;0;0;0;0;0;0
7.79;-0.72;-1.2;-0.92;-0.57;-0.25;-0.04;BOL;2016;0;1;0;0;0;0;0;0;0;0;0;0
7.82;-0.66;-1.21;-0.9;-0.38;-0.28;-0.03;BOL;2017;0;1;0;0;0;0;0;0;0;0;0;0
7.85;-0.63;-1.15;-0.89;-0.32;-0.24;-0.04;BOL;2018;0;1;0;0;0;0;0;0;0;0;0;0
9.06;-0.02;-0.22;0.3;-0.14;-0.22;0.24;BRA;1996;0;0;1;0;0;0;0;0;0;0;0;0
9.06;0.08;-0.19;0.36;-0.08;-0.34;0.33;BRA;1998;0;0;1;0;0;0;0;0;0;0;0;0
9.08;0.04;-0.21;0.36;0.09;0.19;0.3;BRA;2000;0;0;1;0;0;0;0;0;0;0;0;0
9.09;0.08;-0.23;0.3;0.06;0.33;0.47;BRA;2002;0;0;1;0;0;0;0;0;0;0;0;0
9.09;0.09;-0.32;0.31;0.2;0.01;0.44;BRA;2003;0;0;1;0;0;0;0;0;0;0;0;0
9.13;0.02;-0.36;0.03;0.02;-0.28;0.39;BRA;2004;0;0;1;0;0;0;0;0;0;0;0;0
9.15;-0.14;-0.43;0.04;-0.1;-0.26;0.46;BRA;2005;0;0;1;0;0;0;0;0;0;0;0;0
9.18;-0.11;-0.37;-0.03;-0.32;-0.29;0.5;BRA;2006;0;0;1;0;0;0;0;0;0;0;0;0
9.23;-0.08;-0.37;-0.03;-0.21;-0.36;0.54;BRA;2007;0;0;1;0;0;0;0;0;0;0;0;0
9.26;0.01;-0.32;0.05;-0.09;-0.31;0.57;BRA;2008;0;0;1;0;0;0;0;0;0;0;0;0
9.25;-0.07;-0.16;0.1;-0.09;0.17;0.52;BRA;2009;0;0;1;0;0;0;0;0;0;0;0;0
9.32;0.05;0.04;0.15;-0.04;0.01;0.57;BRA;2010;0;0;1;0;0;0;0;0;0;0;0;0
9.35;0.17;0.04;0.17;-0.12;-0.13;0.51;BRA;2011;0;0;1;0;0;0;0;0;0;0;0;0
9.36;-0.04;-0.07;0.09;-0.13;0.05;0.48;BRA;2012;0;0;1;0;0;0;0;0;0;0;0;0
9.38;-0.08;-0.08;0.07;-0.09;-0.26;0.42;BRA;2013;0;0;1;0;0;0;0;0;0;0;0;0
9.37;-0.34;-0.05;-0.08;-0.14;-0.07;0.47;BRA;2014;0;0;1;0;0;0;0;0;0;0;0;0
9.32;-0.4;-0.15;-0.19;-0.18;-0.33;0.46;BRA;2015;0;0;1;0;0;0;0;0;0;0;0;0
9.3;-0.38;-0.16;-0.21;-0.17;-0.38;0.45;BRA;2016;0;0;1;0;0;0;0;0;0;0;0;0
9.3;-0.53;-0.28;-0.11;-0.29;-0.42;0.45;BRA;2017;0;0;1;0;0;0;0;0;0;0;0;0
9.31;-0.42;-0.28;-0.31;-0.45;-0.36;0.39;BRA;2018;0;0;1;0;0;0;0;0;0;0;0;0
9.11;1.45;1.11;1.54;1.34;0.68;0.72;CHL;1996;0;0;0;1;0;0;0;0;0;0;0;0
9.18;1.38;1.18;1.39;1.2;0.04;0.62;CHL;1998;0;0;0;1;0;0;0;0;0;0;0;0
9.19;1.59;1.32;1.41;1.12;0.49;0.89;CHL;2000;0;0;0;1;0;0;0;0;0;0;0;0
9.22;1.59;1.36;1.45;1.15;1.09;1.09;CHL;2002;0;0;0;1;0;0;0;0;0;0;0;0
9.25;1.31;1.29;1.46;1.22;0.76;1.06;CHL;2003;0;0;0;1;0;0;0;0;0;0;0;0
9.3;1.37;1.32;1.4;1.19;0.69;1.23;CHL;2004;0;0;0;1;0;0;0;0;0;0;0;0
9.34;1.47;1.3;1.36;1.24;0.84;1.29;CHL;2005;0;0;0;1;0;0;0;0;0;0;0;0
9.37;1.46;1.27;1.47;1.03;0.61;1.08;CHL;2006;0;0;0;1;0;0;0;0;0;0;0;0
9.41;1.4;1.29;1.51;1.28;0.41;1.1;CHL;2007;0;0;0;1;0;0;0;0;0;0;0;0
9.43;1.38;1.31;1.52;1.17;0.43;1.01;CHL;2008;0;0;0;1;0;0;0;0;0;0;0;0
9.41;1.38;1.3;1.46;1.25;0.6;1.02;CHL;2009;0;0;0;1;0;0;0;0;0;0;0;0
9.46;1.5;1.34;1.44;1.27;0.68;1.1;CHL;2010;0;0;0;1;0;0;0;0;0;0;0;0
9.5;1.53;1.37;1.46;1.25;0.45;1.07;CHL;2011;0;0;0;1;0;0;0;0;0;0;0;0
9.54;1.58;1.39;1.54;1.26;0.33;1.08;CHL;2012;0;0;0;1;0;0;0;0;0;0;0;0
9.57;1.54;1.37;1.49;1.26;0.36;1.11;CHL;2013;0;0;0;1;0;0;0;0;0;0;0;0
9.58;1.49;1.43;1.49;1.16;0.45;1.06;CHL;2014;0;0;0;1;0;0;0;0;0;0;0;0
9.59;1.28;1.34;1.35;1.09;0.43;1;CHL;2015;0;0;0;1;0;0;0;0;0;0;0;0
9.6;1.14;1.13;1.37;1.01;0.41;1;CHL;2016;0;0;0;1;0;0;0;0;0;0;0;0
9.6;1.04;1.01;1.34;0.84;0.42;1;CHL;2017;0;0;0;1;0;0;0;0;0;0;0;0
9.62;1.01;1.12;1.34;1.08;0.43;1.05;CHL;2018;0;0;0;1;0;0;0;0;0;0;0;0
8.49;-0.51;-0.75;-0.11;-0.46;-1.64;-0.51;COL;1996;0;0;0;0;1;0;0;0;0;0;0;0
8.5;-0.5;-0.64;0;-0.23;-1.79;-0.34;COL;1998;0;0;0;0;1;0;0;0;0;0;0;0
8.47;-0.4;-0.89;0.1;-0.32;-1.6;-0.44;COL;2000;0;0;0;0;1;0;0;0;0;0;0;0
8.48;-0.24;-0.72;0.03;-0.41;-1.95;-0.42;COL;2002;0;0;0;0;1;0;0;0;0;0;0;0
8.51;-0.18;-0.7;-0.09;-0.15;-2.37;-0.43;COL;2003;0;0;0;0;1;0;0;0;0;0;0;0
8.54;-0.13;-0.69;-0.05;-0.18;-2.27;-0.32;COL;2004;0;0;0;0;1;0;0;0;0;0;0;0
8.58;-0.13;-0.62;0.01;-0.18;-2.06;-0.32;COL;2005;0;0;0;0;1;0;0;0;0;0;0;0
8.63;-0.12;-0.51;0.1;-0.17;-1.9;-0.17;COL;2006;0;0;0;0;1;0;0;0;0;0;0;0
8.68;-0.22;-0.44;0.24;-0.05;-1.8;-0.17;COL;2007;0;0;0;0;1;0;0;0;0;0;0;0
8.71;-0.24;-0.4;0.26;-0.03;-1.85;-0.17;COL;2008;0;0;0;0;1;0;0;0;0;0;0;0
8.71;-0.31;-0.39;0.15;-0.25;-1.83;-0.15;COL;2009;0;0;0;0;1;0;0;0;0;0;0;0
8.74;-0.39;-0.31;0.25;-0.06;-1.54;-0.13;COL;2010;0;0;0;0;1;0;0;0;0;0;0;0
8.79;-0.29;-0.26;0.36;0.04;-1.28;-0.06;COL;2011;0;0;0;0;1;0;0;0;0;0;0;0
8.82;-0.39;-0.35;0.4;0.02;-1.4;-0.06;COL;2012;0;0;0;0;1;0;0;0;0;0;0;0
8.86;-0.41;-0.41;0.4;0.07;-1.29;-0.08;COL;2013;0;0;0;0;1;0;0;0;0;0;0;0
8.89;-0.37;-0.29;0.5;-0.1;-1.11;-0.04;COL;2014;0;0;0;0;1;0;0;0;0;0;0;0
8.92;-0.3;-0.27;0.47;-0.04;-1.07;0;COL;2015;0;0;0;0;1;0;0;0;0;0;0;0
8.94;-0.32;-0.28;0.4;0.02;-0.88;0.12;COL;2016;0;0;0;0;1;0;0;0;0;0;0;0
8.94;-0.37;-0.36;0.34;-0.07;-0.77;0.11;COL;2017;0;0;0;0;1;0;0;0;0;0;0;0
8.95;-0.3;-0.41;0.33;-0.09;-0.81;0.19;COL;2018;0;0;0;0;1;0;0;0;0;0;0;0
8.25;-0.68;-0.45;-0.31;-0.48;-0.77;0.01;ECU;1996;0;0;0;0;0;1;0;0;0;0;0;0
8.29;-0.85;-0.55;-0.16;-0.51;-0.16;0.11;ECU;1998;0;0;0;0;0;1;0;0;0;0;0;0
8.21;-0.89;-0.64;-0.54;-0.77;-0.57;-0.25;ECU;2000;0;0;0;0;0;1;0;0;0;0;0;0
8.26;-0.89;-0.72;-0.67;-0.84;-0.76;-0.04;ECU;2002;0;0;0;0;0;1;0;0;0;0;0;0
8.27;-0.76;-0.74;-0.66;-0.86;-0.96;-0.12;ECU;2003;0;0;0;0;0;1;0;0;0;0;0;0
8.33;-0.7;-0.75;-0.72;-0.91;-0.84;-0.24;ECU;2004;0;0;0;0;0;1;0;0;0;0;0;0
8.36;-0.71;-0.79;-0.79;-0.95;-0.79;-0.36;ECU;2005;0;0;0;0;0;1;0;0;0;0;0;0
8.39;-0.75;-1.03;-1.11;-1;-0.85;-0.25;ECU;2006;0;0;0;0;0;1;0;0;0;0;0;0
8.39;-0.77;-1.04;-1.14;-0.87;-0.81;-0.16;ECU;2007;0;0;0;0;0;1;0;0;0;0;0;0
8.44;-0.69;-1.17;-1.14;-0.86;-0.73;-0.22;ECU;2008;0;0;0;0;0;1;0;0;0;0;0;0
8.43;-0.8;-1.25;-1.3;-0.79;-0.67;-0.25;ECU;2009;0;0;0;0;0;1;0;0;0;0;0;0
8.45;-0.77;-1.2;-1.17;-0.72;-0.59;-0.23;ECU;2010;0;0;0;0;0;1;0;0;0;0;0;0
8.51;-0.71;-1.21;-1.03;-0.58;-0.69;-0.29;ECU;2011;0;0;0;0;0;1;0;0;0;0;0;0
8.54;-0.58;-1.13;-1.02;-0.5;-0.57;-0.3;ECU;2012;0;0;0;0;0;1;0;0;0;0;0;0
8.58;-0.57;-0.97;-0.93;-0.5;-0.18;-0.25;ECU;2013;0;0;0;0;0;1;0;0;0;0;0;0
8.6;-0.75;-1.06;-1.01;-0.47;-0.02;-0.2;ECU;2014;0;0;0;0;0;1;0;0;0;0;0;0
8.59;-0.67;-1.03;-1.16;-0.44;-0.14;-0.21;ECU;2015;0;0;0;0;0;1;0;0;0;0;0;0
8.55;-0.68;-0.76;-1.02;-0.43;-0.09;-0.25;ECU;2016;0;0;0;0;0;1;0;0;0;0;0;0
8.56;-0.6;-0.7;-1;-0.32;-0.07;-0.17;ECU;2017;0;0;0;0;0;1;0;0;0;0;0;0
8.55;-0.56;-0.63;-0.89;-0.26;-0.07;0.03;ECU;2018;0;0;0;0;0;1;0;0;0;0;0;0
7.71;-0.14;-0.2;-0.17;-0.38;-0.27;0.25;GUA;1996;0;0;0;0;0;0;0;0;0;0;1;0
7.76;-0.33;-0.29;0.01;-0.05;0.12;0.39;GUA;1998;0;0;0;0;0;0;0;0;0;0;1;0
7.78;-0.4;-0.47;-0.15;-0.19;-0.49;0.46;GUA;2000;0;0;0;0;0;0;0;0;0;0;1;0
7.82;-0.43;-0.49;-0.37;-0.25;-0.56;0.54;GUA;2002;0;0;0;0;0;0;0;0;0;0;1;0
7.81;-0.4;-0.54;-0.31;-0.12;-0.44;0.43;GUA;2003;0;0;0;0;0;0;0;0;0;0;1;0
7.83;-0.45;-0.62;-0.37;-0.16;-0.56;0.07;GUA;2004;0;0;0;0;0;0;0;0;0;0;1;0
7.81;-0.56;-0.67;-0.49;-0.51;-0.46;-0.23;GUA;2005;0;0;0;0;0;0;0;0;0;0;1;0
7.86;-0.58;-0.56;-0.61;-0.3;-0.73;0.09;GUA;2006;0;0;0;0;0;0;0;0;0;0;1;0
7.93;-0.59;-0.46;-0.61;-0.04;-0.56;0.1;GUA;2007;0;0;0;0;0;0;0;0;0;0;1;0
7.95;-0.56;-0.58;-0.57;-0.19;-0.63;0.11;GUA;2008;0;0;0;0;0;0;0;0;0;0;1;0
7.98;-0.54;-0.56;-0.61;-0.18;-0.63;0.09;GUA;2009;0;0;0;0;0;0;0;0;0;0;1;0
8.02;-0.56;-0.47;-0.58;-0.11;-0.46;0.07;GUA;2010;0;0;0;0;0;0;0;0;0;0;1;0
8.06;-0.61;-0.51;-0.66;-0.08;-0.43;0.03;GUA;2011;0;0;0;0;0;0;0;0;0;0;1;0
8.11;-0.75;-0.52;-0.62;-0.11;-0.5;0;GUA;2012;0;0;0;0;0;0;0;0;0;0;1;0
8.16;-0.65;-0.53;-0.6;-0.12;-0.46;0.02;GUA;2013;0;0;0;0;0;0;0;0;0;0;1;0
8.19;-0.74;-0.62;-0.53;-0.23;-0.14;0.16;GUA;2014;0;0;0;0;0;0;0;0;0;0;1;0
8.21;-0.64;-0.53;-0.52;-0.34;-0.14;0.18;GUA;2015;0;0;0;0;0;0;0;0;0;0;1;0
8.24;-0.32;-0.31;-0.42;-0.3;-0.03;0.25;GUA;2015;0;0;0;0;0;0;0;0;0;0;1;0
8.26;-0.51;-0.29;-0.39;-0.29;-0.04;0.28;GUA;2015;0;0;0;0;0;0;0;0;0;0;1;0
8.29;-0.23;-0.32;-0.53;-0.27;-0.18;0.26;GUA;2015;0;0;0;0;0;0;0;0;0;0;1;0
8.06;-0.4;-0.7;0.49;0.03;-1.06;-0.53;PER;1996;0;0;0;0;0;0;1;0;0;0;0;0
8.09;-0.37;-0.71;0.62;0.17;-0.52;-0.64;PER;1998;0;0;0;0;0;0;1;0;0;0;0;0
8.1;-0.39;-0.69;0.44;-0.06;-0.99;-0.37;PER;2000;0;0;0;0;0;0;1;0;0;0;0;0
8.14;-0.27;-0.47;0.02;-0.34;-0.97;0.22;PER;2002;0;0;0;0;0;0;1;0;0;0;0;0
8.17;-0.08;-0.52;0.16;-0.44;-1.16;0.08;PER;2003;0;0;0;0;0;0;1;0;0;0;0;0
8.2;-0.32;-0.49;0.21;-0.51;-1.03;-0.13;PER;2004;0;0;0;0;0;0;1;0;0;0;0;0
8.25;-0.33;-0.68;0.03;-0.61;-0.98;-0.01;PER;2005;0;0;0;0;0;0;1;0;0;0;0;0
8.31;-0.2;-0.69;0.13;-0.67;-0.84;0.09;PER;2006;0;0;0;0;0;0;1;0;0;0;0;0
8.38;-0.25;-0.73;0.28;-0.52;-0.77;0.11;PER;2007;0;0;0;0;0;0;1;0;0;0;0;0
